Community,kt2440.cfu.24h,kt2440.cfu.96h,kt2440.cfu.7d,sbw25.cfu.24h,sbw25.cfu.96h,sbw25.cfu.7d
WYT103,0,0,0,1883.536669,0,0
WYT104,0,0,0,43175.88316,787.6816644,0
WYT105,0,0,1578.64366,13948.63677,0,0
WYT106,0,0,0,1755.989963,0,0
WYT107,0,0,0,8884.89798,0,0
WYT108,0,0,0,5956.382312,3726.622614,0
WYT109,0,0,0,5509.427505,2449.210834,0
WYT110,0,0,0,253.3233954,0,0
WYT111,0,0,0,1258.977261,0,0
WYT112,0,0,0,25183.8445,4294.367171,1258.977261
WYT113,9530.253536,0,0,88654.47984,6256.918129,0
WYT114,6734.534456,0,0,31283.29145,4485.969635,0
WYT115,0,0,0,80504.04217,3914.653454,1422.135573
WYT13,0,0,0,8255.613344,0,0
WYT14,0,0,0,5806.874641,0,0
WYT15,0,0,0,3039.79743,3914.653454,0
WYT16,0,0,0,1019.616505,0,0
WYT17,0,0,0,1755.989963,0,0
WYT19,0,0,0,72253.95401,7170.071389,0
WYT20,22338.43711,0,0,37549.02615,2942.349589,99.16102331
WYT21,25025.88201,0,0,33354.55177,0,0
WYT22,0,0,0,2806.655955,0,0
WYT23,0,0,0,0,0,0
WYT24,0,0,0,0,0,0
WYT25,0,0,0,4485.969635,0,0
WYT26,0,0,0,1138.443906,0,0
WYT27,14827.87702,0,0,14623.0127,71.09463963,0
WYT28,331793.5204,0,0,420812.519,91249.99592,19924.75909
WYT29,325788.8856,7598.634315,0,579231.4084,73094.50176,27872.56779
WYT30,0,0,0,0,0,0
WYT31,0,0,0,0,0,0
WYT32,8244.317181,0,0,23012.38108,2806.655955,1587.873057
WYT33,0,0,0,3354.438517,0,0
WYT34,0,0,0,353.3291292,0,0
WYT36,17762.2341,0,0,21223.69562,253.3233954,0
WYT37,20263.10262,0,0,23012.38108,1629.686273,0
WYT38,0,0,0,71.09463963,0,0
WYT39,0,0,0,2806.655955,0,0
WYT40,0,0,0,2537.949228,0,0
WYT41,0,0,0,9680.042191,457.3677772,0
WYT42,0,0,0,1504.695226,0,0
WYT43,0,0,0,3354.438517,0,0
WYT44,0,0,0,71.09463963,0,0
WYT45,0,0,0,2671.845075,0,0
WYT46,0,0,0,2405.003393,0,0
WYT47,0,0,0,65785.41626,11623.95604,2806.655955
WYT48,0,0,0,3773.512494,0,0
WYT49,0,0,0,2671.845075,0,0
WYT50,0,0,0,0,0,0
WYT51,0,0,0,2806.655955,0,0
WYT52,0,0,0,902.6382717,0,0
WYT53,0,0,0,4056.486921,0,0
WYT54,0,0,0,4198.995146,0,0
WYT55,0,0,0,2537.949228,353.3291292,0
WYT56,0,0,0,9360.879734,1258.977261,0
WYT57,0,0,0,12613.20679,457.3677772,492.814623
WYT58,0,0,0,2537.949228,0,0
WYT59,0,0,0,80291.01177,29788.43438,10215.14385
SAC02,597786.5698,10809.81467,1426.103383,3032428.863,248001.2604,82852.38377
SAC03,604576.913,12930.36827,0,2899101.37,227769.9408,74568.60786
SAC04,572802.7924,19847.11968,253.293549,1531136.472,187090.3255,56955.17832
SAC05,520314.3899,114866.4235,0,2847933.552,357525.9082,68696.51157
SAC06,579787.519,36086.84195,2558.864999,2776576.413,281290.7049,82424.73409
SAC07,587320.2004,25025.88201,3451.152484,2224400.069,234651.9077,68071.27307
SAC08,500743.5502,13563.94167,7167.064008,1378545.89,199324.0048,64336.33684
SAC09,410818.0856,50645.56027,0,2577290.49,282805.6432,76681.3228
SAC10,574273.5204,21923.95968,4774.244306,2722276.856,244778.42,83280.33253
SAC11,461330.7117,10809.81467,0,2598423.95,191156.5327,68071.27307
SAC12,614298.7407,22131.23411,730.8152129,2216053.473,216281.4299,79865.18064
SAC13,583278.7188,72007.5041,1882.150821,2555159.612,235390.8992,85424.52356
SAC14,52252.78388,19014.18287,0,3975236.76,170710.8489,39477.2489
SAC15,125576.3484,9957.437716,0,1477294.513,116605.2646,41613.10797
SAC16,57263.90212,7814.078284,4114.66479,223849.939,44156.53956,12117.21424
WF01,0,0,0,4198.995146,0,0
WF02,0,0,0,902.6382717,0,0
WF04,0,0,0,457.3677772,0,0
WF05,3228.974531,0,0,22294.56051,18928.79545,9360.879734
WF06,0,0,0,7170.071389,1883.536669,221.0610828
WF07,3451.152484,0,0,17188.57919,11296.67764,3354.438517
AE02,2558.864999,0,0,10808.16659,8307.812915,71.09463963
AE03,0,0,0,12117.21424,7684.411542,2806.655955
AE04,4774.244306,2183.859026,0,13278.64799,45205.83214,0
AE06,0,0,0,9680.042191,18288.0868,0
AE07,0,0,0,11460.15865,5263.200747,0
AE08,0,0,0,8726.992748,787.6816644,0
AE09,12718.92566,7454.880374,0,8569.473432,14848.7536,158.4922935
