OTU1	OTU2	corr	type
pseudomonas.thivervalensis	erwinia.persicina	0.367729450623075	NA
citrobacter.werkmanii	erwinia.persicina	0.469374285613979	NA
serratia.liquefaciens	erwinia.persicina	0.329846417064186	NA
trabulsiella.spp.	erwinia.persicina	0.333923133640317	NA
serratia.quinivorans	erwinia.persicina	0.328748421478232	NA
pseudomonas.syringae	erwinia.persicina	0.302669746365548	NA
rhizobium.leguminosarum	rhizobium.giardinii	0.807378148205103	NA
corynebacterium.testudinoris	corynebacterium.diphtheriae	0.333087959712097	NA
cloacibacterium.spp.	corynebacterium.diphtheriae	0.352496356621353	NA
escherichia_shigella.spp.	serratia.fonticola	0.697692386175013	NA
klebsiella.pneumoniae	serratia.fonticola	0.326317276449015	NA
pantoea.agglomerans	serratia.fonticola	0.408286109389622	NA
pantoea.vagens	serratia.fonticola	0.35462260441406	NA
pseudomonas.thivervalensis	serratia.fonticola	0.302967566441493	NA
citrobacter.werkmanii	serratia.fonticola	0.308468516116119	NA
serratia.liquefaciens	serratia.fonticola	0.820396099659418	NA
serratia.quinivorans	serratia.fonticola	0.660997023915375	NA
erwinia.persicina	serratia.fonticola	0.389046505202166	NA
cedecea.spp.	erwinia.rhapontici	0.363273573139144	NA
klebsiella.pneumoniae	erwinia.rhapontici	0.485950155503734	NA
pantoea.agglomerans	erwinia.rhapontici	0.465621906550171	NA
citrobacter.werkmanii	erwinia.rhapontici	0.435852105162142	NA
trabulsiella.spp.	erwinia.rhapontici	0.321917569079865	NA
brevundimonas.bullata	brevundimonas.variabilis	0.530499926619008	NA
pseudomonas.rhizosphaerae	comamonas.spp.	0.342757320318135	NA
pseudomonas.vranovensis	comamonas.spp.	0.368731765966156	NA
pseudomonas.syringae	comamonas.spp.	0.305635044175118	NA
pedobacter.spp.	pedobacter.daejeonensis	0.388536797655627	NA
novosphingobium.subarcticum	pedobacter.daejeonensis	0.394842853974172	NA
acinetobacter.piperi	pedobacter.daejeonensis	0.30107027345577	NA
hylemonella.spp.	acidovorax.konjaci	0.330846336599432	NA
pseudomonas.veronii	pseudomonas.luteola	0.349694957545619	NA
paucimonas.spp.	novispirillum.novospirillum.itersonii	0.353715870415321	NA
